,command,intent
360,на палуба право борт,move_ship_right
361,на корабль я направо двигаться,move_ship_right
362,мы отплывать правый,move_ship_right
363,я отчалить направо,move_ship_right
364,повернуть корабельный направо,move_ship_right
365,право педальакселератор,move_ship_right
366,корвет направо,move_ship_right
367,повернуть корабль направо,move_ship_right
368,направо судно,move_ship_right
369,на правый баркас,move_ship_right
370,мы выплывать правый,move_ship_right
371,корабль по к борт правый клетка,move_ship_right
372,пляж направо,move_ship_right
373,я судно двигаться на корабль направо,move_ship_right
374,пододвигать корабль вправо,move_ship_right
375,правый вахтенный,move_ship_right
376,шаг направо от шлюпка,move_ship_right
377,заводить мотор мы двигатель ехать на восток,move_ship_right
378,уносить вправо,move_ship_right
379,с корабль на право борт,move_ship_right
380,пойти я идти направо,move_ship_right
381,посадка на корабль направо,move_ship_right
382,заводить мотор мы ехать на двигатель восток,move_ship_right
383,правый борт на борт,move_ship_right
384,я идти направо корабль,move_ship_right
385,судно двигаться корабль вправо,move_ship_right
386,поехать направо,move_ship_right
387,я пойти идти корабль направо,move_ship_right
388,идти мотор врубать на восток,move_ship_right
389,корабль по правый борт клетка к,move_ship_right
390,по правый палуба борт,move_ship_right
391,заводить мотор мы везти на восток,move_ship_right
392,корабль вправо на плазматическиймембрать,move_ship_right
393,корабль на вправо клетка,move_ship_right
394,я двигаться на корабельный направо,move_ship_right
395,на палуба борт правый борт,move_ship_right
396,корвет на клетка вправо,move_ship_right
397,двигаться крейсер вправо,move_ship_right
398,я поплыть судно на корабль направо,move_ship_right
399,право на катер,move_ship_right
400,я бежать направо корабль,move_ship_right
401,идти я направо пойти на корабль,move_ship_right
402,судно я двигаться вправо корабль,move_ship_right
403,ехать мы на восток,move_ship_right
404,мы ехать на востоко,move_ship_right
405,мы ехать запад на восток,move_ship_right
406,мы доезжать на восток,move_ship_right
407,мы ехать на восток,move_ship_right
408,мы на ехать восток,move_ship_right
409,запад мы ехать на восток,move_ship_right
410,мы ехать на север,move_ship_right
411,мы ехать поехать на восток,move_ship_right
412,мы ехать восток на,move_ship_right
413,уплыть влеввый,move_ship_left
414,на левый судно корабль,move_ship_left
415,плыть влеввыя,move_ship_left
416,мы поплыть плыть налево,move_ship_left
417,корвет влево на клетка,move_ship_left
418,я идти пойти налево корабль,move_ship_left
419,налево полечить на корабль я,move_ship_left
420,мотор заводить мы поехать на запад,move_ship_left
421,левый стояночныйтормоз,move_ship_left
422,судно корабль налево,move_ship_left
423,плыть поплыть влево,move_ship_left
424,подвинуть корабль влево,move_ship_left
425,влево двигаться я корабль,move_ship_left
426,я двигаться влево бриг,move_ship_left
427,на катер лодка налево,move_ship_left
428,уходить влево,move_ship_left
429,мы закачаться налево,move_ship_left
430,левый руль,move_ship_left
431,переваливаться корабль влево,move_ship_left
432,шаг влево от катер,move_ship_left
433,фрегат налево,move_ship_left
434,заводить мотор мы поехать на запад,move_ship_left
435,слева от корабль,move_ship_left
436,я двигаться на корабельный влево,move_ship_left
437,я налево отплывать,move_ship_left
438,шхуна налево,move_ship_left
439,педаль слева,move_ship_left
440,поплыть налево,move_ship_left
441,я идти корабль налево,move_ship_left
442,я двигаться влево на корабль,move_ship_left
443,налево корабль на,move_ship_left
444,идти мотор врубать на запад,move_ship_left
445,на борт левый катер,move_ship_left
446,влеввыя уплыть,move_ship_left
447,лететь налево,move_ship_left
448,я налево идти корабль,move_ship_left
449,шаг судно левый корабль,move_ship_left
450,я пойти на корабельный влево,move_ship_left
451,передвинить корабль в левый тотем,move_ship_left
452,я двигаться корабль влево,move_ship_left
453,я полечить на бриг налево,move_ship_left
454,мы поплыть налево,move_ship_left
455,плыть уплыть влево,move_ship_left
456,плыть налево,move_ship_left
457,приплывать влево,move_ship_left
458,мы выплывать на левый сторона,move_ship_left
459,я идти на корабль влево,move_ship_left
460,корабль полечить на я налево,move_ship_left
461,корабль влево клетка на,move_ship_left
462,повести корабль в левый сторона,move_ship_left
463,я полечить на шлюпка налево,move_ship_left
464,заводить мотор мы выезжать на запад,move_ship_left
465,на двигаться влево я корабль,move_ship_left
466,на борт левый борт,move_ship_left
467,на катер левый лодка,move_ship_left
468,я двигаться влево судно,move_ship_left
469,заводить поехать мы мотор на запад,move_ship_left
470,заводить мотор на ехать мы запад,move_ship_left
471,передвинуть переставлять корабль влево,move_ship_left
472,подвинуть корабль придвигать влево,move_ship_left
473,мы проплывать налево,move_ship_left
474,мы левый пойти,move_ship_left
475,налево отчаливать,move_ship_left
476,на пойти я корабль влево,move_ship_left
477,полагать корабль влево,move_ship_left
478,я идти фрегат налево,move_ship_left
479,нестись налево,move_ship_left
480,на левый борт,move_ship_left
481,заводить мотор мы ехать на юговосток,move_ship_left
482,шаг корабль от влево,move_ship_left
483,повесть корабль в судно левый сторона,move_ship_left
484,левый рулевой,move_ship_left
485,фрегат влево на клетка,move_ship_left
486,корабль клетка на влево,move_ship_left
487,я двигаться влево судно корабль,move_ship_left
488,я идти судно корабль налево,move_ship_left
489,передвинить корабль в вправо левый сторона,move_ship_left
490,я двигаться корабль на влево,move_ship_left
491,я идти бриг налево,move_ship_left
492,я налево отчалить,move_ship_left
493,передвигаться корабль влево,move_ship_left
494,налево плыть я,move_ship_left
495,уноситься влево,move_ship_left
496,я полечить на налево корабль,move_ship_left
497,эскадра налево,move_ship_left
498,судно я двигаться на корабль влево,move_ship_left
499,передвинуть корабль судно влево,move_ship_left
500,шаг левый корабль,move_ship_left
501,влево шаг от корабль,move_ship_left
502,отправлять влево,move_ship_left
503,слева корабль,move_ship_left
504,судно налево,move_ship_left
505,левый рулевой руль,move_ship_left
506,судно шаг влево от корабль,move_ship_left
507,налево поплыть мы,move_ship_left
508,левый шаг корабль,move_ship_left
509,я двигаться влево фрегат,move_ship_left
510,слева от судно корабль,move_ship_left
511,я полечить лечить налево на корабль,move_ship_left
512,корабль на эмбриональныйстволовый влево,move_ship_left
513,пароход налево,move_ship_left
514,улетать влево,move_ship_left
515,повесть корабль в сторона левый,move_ship_left
516,гащивать на запад,move_ship_left
517,поплыть я плыть налево,move_ship_left
518,отправляться поехать влево,move_ship_left
519,налево корабль,move_ship_left
520,левый штурвал,move_ship_left
521,я брести налево корабль,move_ship_left
522,я двигаться передвигаться влево на корабль,move_ship_left
523,корабль повесть в левый сторона,move_ship_left
524,корабль клеточный на клетка влево,move_ship_left
525,двигаться я на корабль влево,move_ship_left
526,я налево качаться,move_ship_left
527,левый поплыть на мы сторона,move_ship_left
528,лечить я полечить на корабль налево,move_ship_left
529,езжать на гуачжеу,move_ship_left
530,давать запад на давать,move_ship_left
531,корабль влево на флэча,move_ship_left
532,корабль судно на клетка влево,move_ship_left
533,влево уплыть,move_ship_left
534,я двигаться на фрегат влево,move_ship_left
535,заводить заводиться мотор мы ехать на запад,move_ship_left
536,давать надавать на запад,move_ship_left
537,я полечить судно на корабль налево,move_ship_left
538,я пойти влево корабль на,move_ship_left
539,рулевой левый рулевой,move_ship_left
540,давать васяпиисхадитество на запад,move_ship_left
541,шмурыгивать корабль влево,move_ship_left
542,руль левый,move_ship_left
543,корабль налево,move_ship_left
544,причаливать отчаливать налево,move_ship_left
545,получать давать давать на запад,move_ship_left
546,я идти судно налево корабль,move_ship_left
547,отчаливать налево,move_ship_left
548,на налево корабль,move_ship_left
549,поплыть плыть влево,move_ship_left
550,заводить мотор мы ехать на запад,move_ship_left
551,шаг влево от крейсер,move_ship_left
552,корабль судно слева,move_ship_left
553,на налево лодка,move_ship_left
554,передвигаться двигаться корабль влево,move_ship_left
555,мы выплывать налево,move_ship_left
556,я двигаться влево корабль на,move_ship_left
557,на плот налево,move_ship_left
558,я на влево двигаться корабль,move_ship_left
559,корабль на влево клетка,move_ship_left
560,на полечить налево я корабль,move_ship_left
561,мы плыть на левый сторона,move_ship_left
562,приплывать налево,move_ship_left
563,шашни мотор мы ехать на запад,move_ship_left
564,поплыть плыть налево,move_ship_left
565,влево корабль двигаться,move_ship_left
566,левый пойти мы,move_ship_left
567,рулевой левый руль,move_ship_left
568,езжать восток на запад,move_ship_left
569,врубать дизельный идти на запад,move_ship_left
570,идти мы пойти левый,move_ship_left
571,подвинуть корабль судно влево,move_ship_left
572,крейсер влево на клетка,move_ship_left
573,я поплыть плыть налево,move_ship_left
574,катер слева,move_ship_left
575,руль слева,move_ship_left
576,я двигаться на корабль судно влево,move_ship_left
577,мы понестись левый,move_ship_left
578,пришвартовываться налево,move_ship_left
579,я идти налево корабль,move_ship_left
580,передвинуть корабль переставлять влево,move_ship_left
581,мы пойти идти левый,move_ship_left
582,мы пойти левый,move_ship_left
583,я поплыть налево плыть,move_ship_left
584,передвинить корабль левый в сторона,move_ship_left
585,я идти пойти корабль налево,move_ship_left
586,проплывать влеввыя,move_ship_left
587,на левый лодка,move_ship_left
588,на левый низкобортный,move_ship_left
589,ездить на запад,move_ship_left
590,на лодка налево,move_ship_left
591,давать давать на запад,move_ship_left
592,я судно двигаться влево на корабль,move_ship_left
593,я корабль влево двигаться,move_ship_left
594,я двигаться влево корабль,move_ship_left
595,судно я двигаться влево корабль,move_ship_left
596,автобиографический корабль в левый сторона,move_ship_left
597,мы выплывать левый,move_ship_left
598,передвинить корабль в левый судно сторона,move_ship_left
599,корабль судно налево,move_ship_left
600,шлюпка налево,move_ship_left
601,судно я идти налево корабль,move_ship_left
602,я бежать корабль налево,move_ship_left
603,заводить мотор на поехать мы запад,move_ship_left
604,корабль левый шаг,move_ship_left
605,восток врубать мотор идти на запад,move_ship_left
606,судно повесть корабль в левый сторона,move_ship_left
607,плавать влево,move_ship_left
608,я двинуться на корабль влево,move_ship_left
609,я полечить налево на корабль,move_ship_left
610,мы поплыть левый,move_ship_left
611,влево корабль подвинуть,move_ship_left
612,сторона корабль в левый передвинить,move_ship_left
613,я полечить на крейсер налево,move_ship_left
614,шаг левый крейсер,move_ship_left
615,судно на корабль налево,move_ship_left
616,рулевой руль слева,move_ship_left
617,езжать на запад,move_ship_left
618,мы плыть поплыть налево,move_ship_left
619,на лодка катер налево,move_ship_left
620,на шлюпка налево,move_ship_left
621,мы двинуться левый,move_ship_left
622,катер на левый лодка,move_ship_left
623,я двигаться на судно корабль влево,move_ship_left
624,шаг влево от корабль,move_ship_left
625,плыть я налево,move_ship_left
626,на палуба борт левый борт,move_ship_left
627,я грузиться налево,move_ship_left
628,левый водитель,move_ship_left
629,шаг левый шажок корабль,move_ship_left
630,судно слева от корабль,move_ship_left
631,пододвигать корабль влево,move_ship_left
632,ехать мотор мы заводить на запад,move_ship_left
633,повесть левый в корабль сторона,move_ship_left
634,плывать влево,move_ship_left
635,я двинуться налево корабль,move_ship_left
636,на судно корабль налево,move_ship_left
637,я отплывать налево,move_ship_left
638,штурвал слева,move_ship_left
639,на левый катер,move_ship_left
640,уплыть плыть влеввыя,move_ship_left
641,запад на езжать,move_ship_left
642,я проплывать налево,move_ship_left
643,на левый шлюпка,move_ship_left
644,я двигаться на корабль влево,move_ship_left
645,уплыть плыть влево,move_ship_left
646,я судно пойти на корабль влево,move_ship_left
647,мы мотор заводить ехать на запад,move_ship_left
648,мы вправо поплыть на левый сторона,move_ship_left
649,левый педальакселератор,move_ship_left
650,заводить мотор мы поехать на ехать запад,move_ship_left
651,левый шофер,move_ship_left
652,корвет налево,move_ship_left
653,мы плыть поплыть на левый сторона,move_ship_left
654,влево корабль передвинуть,move_ship_left
655,мы идти пойти левый,move_ship_left
656,налево судно,move_ship_left
657,влево плыть,move_ship_left
658,корабль идти налево я,move_ship_left
659,врубать мотор пойти идти на запад,move_ship_left
660,корабль на клетка судно влево,move_ship_left
661,передвинуть катер влево,move_ship_left
662,шаг влево от судно,move_ship_left
663,на левый корабль,move_ship_left
664,на палуба левый борт,move_ship_left
665,уплыть влеввыя,move_ship_left
666,подвинуть судно влево,move_ship_left
667,заводить мотор мы заводиться ехать на запад,move_ship_left
668,шаг шажок левый корабль,move_ship_left
669,корабль влево на клетка,move_ship_left
670,я подвигаться влево на корабль,move_ship_left
671,заводить мотор мы поехать на заводиться запад,move_ship_left
672,корабль влево клеточный на клетка,move_ship_left
673,качаться влево,move_ship_left
674,корабль клеточный влево на клетка,move_ship_left
675,корабль идти я налево,move_ship_left
676,подвинуть влево корабль,move_ship_left
677,я отчалить налево,move_ship_left
678,давать на давать запад,move_ship_left
679,на влево корабль клетка,move_ship_left
680,врубать пятицилиндровый идти на запад,move_ship_left
681,на левый плоскодонка,move_ship_left
682,заводить двигатель мотор мы поехать на запад,move_ship_left
683,шаг влево судно от корабль,move_ship_left
684,я двигаться влево на крейсер,move_ship_left
685,лодка на налево,move_ship_left
686,отчалить я налево,move_ship_left
687,корабль слева,move_ship_left
688,двигаться корабль влево,move_ship_left
689,рулевой левый,move_ship_left
690,плыть уплыть влеввыя,move_ship_left
691,двигаться передвигаться корабль влево,move_ship_left
692,давать давать на юговосток,move_ship_left
693,я уплывать налево,move_ship_left
694,на левый весло,move_ship_left
695,я двигаться влево на судно корабль,move_ship_left
696,врубать мотор тащиться на запад,move_ship_left
697,на левый судно,move_ship_left
698,плыть мы поплыть левый,move_ship_left
699,корвет на клетка влево,move_ship_left
700,левый поплыть мы,move_ship_left
701,борт на левый борт,move_ship_left
702,я полечить налево судно на корабль,move_ship_left
703,корабль от слева,move_ship_left
704,мы плыть поплыть левый,move_ship_left
705,налево полечить я на корабль,move_ship_left
706,повесть вправо корабль в левый сторона,move_ship_left
707,слева корабль от,move_ship_left
708,повесть фрегат в левый сторона,move_ship_left
709,поплыть мы левый,move_ship_left
710,поплыть я налево плыть,move_ship_left
711,я идти корабль пойти налево,move_ship_left
712,я двигаться влево передвигаться корабль,move_ship_left
713,налево низкобортный,move_ship_left
714,слева от крейсер,move_ship_left
715,врубать мотор идти на запад,move_ship_left
716,я плестись налево корабль,move_ship_left
717,придвигать подвинуть корабль влево,move_ship_left
718,врубать мотор музона идти на запад,move_ship_left
719,двигаться эскадра влево,move_ship_left
