,command,orig,intent,entity
72,я иду корабликом,хожу корабликом,choose_your_fighter,fighter
73,я пойду на корабль,я пойду кораблем,choose_your_fighter,fighter
74,первый пират ход сделал,первый пират делает ход,choose_your_fighter,fighter
75,пошевеливайтесь,дваигаюсь кораблем,choose_your_fighter,fighter
76,хочу плавать на лодке,хочу поплавать судном,choose_your_fighter,fighter
77,третьим двадцать человеком,дваигаюсь третьим человечком,choose_your_fighter,fighter
78,хочу поплавать судном,хочу поплавать судном,choose_your_fighter,fighter
79,я пойду пиратом третьим,я пойду третьим пиратом,choose_your_fighter,fighter
80,я на лодке ходить буду,я буду ходить кораблем,choose_your_fighter,fighter
81,я буду идти второй пират,я буду ходить вторым пиратом,choose_your_fighter,fighter
82,номер фигурка один,фигуркой номер один,choose_your_fighter,fighter
83,я хочу пойти второй пират,хочу ходить вторым пиратом,choose_your_fighter,fighter
84,я пойду пират на второй,я пойду вторым пиратом,choose_your_fighter,fighter
85,хожу пиратом номер один,хожу пиратом номер один,choose_your_fighter,fighter
86,корабликом иду я,хожу корабликом,choose_your_fighter,fighter
87,я хочу на корабле плавать,хочу поплавать судном,choose_your_fighter,fighter
88,пиратом хочу быть я,хожу пиратом номер два,choose_your_fighter,fighter
89,фигурка один номер,фигуркой номер один,choose_your_fighter,fighter
90,двигается корабль,кораблик делает ход,choose_your_fighter,fighter
91,первый как пошевеливайся человек,дваигаюсь первым человечком,choose_your_fighter,fighter
92,пиратом пойду вторым я,я пойду вторым пиратом,choose_your_fighter,fighter
93,хочу поплавать на судне,хочу поплавать судном,choose_your_fighter,fighter
94,пойду я первым пиратом,я пойду первым пиратом,choose_your_fighter,fighter
95,я в третьем ходить буду пирате,я буду ходить третьим пиратом,choose_your_fighter,fighter
96,сделал пират третий ход,третий пират делает ход,choose_your_fighter,fighter
97,номер фигура один,фигуркой номер один,choose_your_fighter,fighter
98,хотел другим быть бы я пиратом,хочу ходить вторым пиратом,choose_your_fighter,fighter
99,первый пират сделал ход,первый пират делает ход,choose_your_fighter,fighter
100,я пират первый пойду,я пойду первым пиратом,choose_your_fighter,fighter
101,третьим ходить хочу пиратом,хочу ходить третьим пиратом,choose_your_fighter,fighter
102,я поеду пиратом с другим,я пойду вторым пиратом,choose_your_fighter,fighter
103,другая пиратка делает свой ход,второй пират делает ход,choose_your_fighter,fighter
104,я буду пираткой первой,я буду ходить первым пиратом,choose_your_fighter,fighter
105,я первый пират,я буду ходить первым пиратом,choose_your_fighter,fighter
106,я пират быть другой бы хотел,хочу ходить вторым пиратом,choose_your_fighter,fighter
107,треть,дваигаюсь третьим человечком,choose_your_fighter,fighter
108,фигура другая,фигуркой номер два,choose_your_fighter,fighter
109,первый я,дваигаюсь первым человечком,choose_your_fighter,fighter
110,ход пират делает второй,второй пират делает ход,choose_your_fighter,fighter
111,хожу три номер пиратом,хожу пиратом номер три,choose_your_fighter,fighter
112,делает машина ход корабля,кораблик делает ход,choose_your_fighter,fighter
113,близнецы другие и,дваигаюсь вторым человечком,choose_your_fighter,fighter
114,третьим пойду я пиратом,я пойду третьим пиратом,choose_your_fighter,fighter
115,хотел бы я пиратом первым быть,хочу ходить первым пиратом,choose_your_fighter,fighter
116,первой буду я пираткой,я буду ходить первым пиратом,choose_your_fighter,fighter
117,я ходить буду третьим пиратом,я буду ходить третьим пиратом,choose_your_fighter,fighter
118,хотел бы я быть другим пиратом,хочу ходить вторым пиратом,choose_your_fighter,fighter
119,хотелось бы я третьего пирата,хочу ходить третьим пиратом,choose_your_fighter,fighter
120,я пират номер один,хожу пиратом номер один,choose_your_fighter,fighter
121,хотел бы я быть первым пиратом,хочу ходить первым пиратом,choose_your_fighter,fighter
122,я пиратом быть хочу,хожу пиратом номер три,choose_your_fighter,fighter
123,я буду пиратом вторым ходить,я буду ходить вторым пиратом,choose_your_fighter,fighter
124,хожу номер пиратом два,хожу пиратом номер два,choose_your_fighter,fighter
125,ходить буду я как третий пират,я буду ходить третьим пиратом,choose_your_fighter,fighter
126,я пират номер два,хожу пиратом номер два,choose_your_fighter,fighter
127,хочу судном поплавать,хочу поплавать судном,choose_your_fighter,fighter
128,я буду пиратом вторым,я буду ходить вторым пиратом,choose_your_fighter,fighter
129,я гулял на корабле,хожу корабликом,choose_your_fighter,fighter
130,пиратом поеду с другим я,я пойду вторым пиратом,choose_your_fighter,fighter
131,пират буду ходить как третий я,я буду ходить третьим пиратом,choose_your_fighter,fighter
132,я хочу плавать на корабле,хочу поплавать судном,choose_your_fighter,fighter
133,на корабль ходил я,хожу корабликом,choose_your_fighter,fighter
134,ход пират сделал первый,первый пират делает ход,choose_your_fighter,fighter
135,хочу на судне поплавать,хочу поплавать судном,choose_your_fighter,fighter
136,двигайся первым человеком,дваигаюсь первым человечком,choose_your_fighter,fighter
137,хочу ходить первым пиратом,хочу ходить первым пиратом,choose_your_fighter,fighter
138,второй хочу пойти я пират,хочу ходить вторым пиратом,choose_your_fighter,fighter
139,я буду ходить третьим пиратом,я буду ходить третьим пиратом,choose_your_fighter,fighter
140,третий пират делает ход,третий пират делает ход,choose_your_fighter,fighter
141,корабля делает ход машина,кораблик делает ход,choose_your_fighter,fighter
142,в ход пиратка идет первая,первый пират делает ход,choose_your_fighter,fighter
143,я ходил на корабль,хожу корабликом,choose_your_fighter,fighter
144,я с другим поеду пиратом,я пойду вторым пиратом,choose_your_fighter,fighter
145,делает пират второй ход,второй пират делает ход,choose_your_fighter,fighter
146,я хочу быть первой пираткой,хочу ходить первым пиратом,choose_your_fighter,fighter
147,я пойду третьим пиратом,я пойду третьим пиратом,choose_your_fighter,fighter
148,человек второй,дваигаюсь вторым человечком,choose_your_fighter,fighter
149,я буду идти как третий пассажир,я буду ходить третьим пиратом,choose_your_fighter,fighter
150,плавать хочу на лодке,хочу поплавать судном,choose_your_fighter,fighter
151,я буду первой пираткой,я буду ходить первым пиратом,choose_your_fighter,fighter
152,три делают пирата ход,третий пират делает ход,choose_your_fighter,fighter
153,пират я,хожу пиратом номер два,choose_your_fighter,fighter
154,я на лодку пойду,я буду ходить кораблем,choose_your_fighter,fighter
155,я пиратом третьим пойду,я пойду третьим пиратом,choose_your_fighter,fighter
156,мэртваря два,дваигаюсь кораблем,choose_your_fighter,fighter
157,я буду как идти третий пассажир,я буду ходить третьим пиратом,choose_your_fighter,fighter
158,другой формат,фигуркой номер два,choose_your_fighter,fighter
159,дваигаюсь кораблем,дваигаюсь кораблем,choose_your_fighter,fighter
160,третий пират сделал ход,третий пират делает ход,choose_your_fighter,fighter
161,пират другой делает ход,второй пират делает ход,choose_your_fighter,fighter
162,я пойду на корабль,я буду ходить кораблем,choose_your_fighter,fighter
163,два номер фигуркой,фигуркой номер два,choose_your_fighter,fighter
164,машина движется,кораблик делает ход,choose_your_fighter,fighter
165,дваигаюсь третьим человечком,дваигаюсь третьим человечком,choose_your_fighter,fighter
166,делает пират третий ход,третий пират делает ход,choose_your_fighter,fighter
167,я буду ходить третий как пират,я буду ходить третьим пиратом,choose_your_fighter,fighter
168,хожу два номер пиратом,хожу пиратом номер два,choose_your_fighter,fighter
169,я пиратом ходить первым буду,я буду ходить первым пиратом,choose_your_fighter,fighter
170,я пират,хожу пиратом номер два,choose_your_fighter,fighter
171,пойду я вторым пиратом,я пойду вторым пиратом,choose_your_fighter,fighter
172,я ходить буду кораблем,я буду ходить кораблем,choose_your_fighter,fighter
173,один номер фигурка,фигуркой номер один,choose_your_fighter,fighter
174,фигурка три номер,фигуркой номер три,choose_your_fighter,fighter
175,я пойду первый пират,я пойду первым пиратом,choose_your_fighter,fighter
176,первая в ход идет пиратка,первый пират делает ход,choose_your_fighter,fighter
177,хочу пиратом первым ходить,хочу ходить первым пиратом,choose_your_fighter,fighter
178,фигурка номер два,фигуркой номер два,choose_your_fighter,fighter
179,судном поплавать хочу,хочу поплавать судном,choose_your_fighter,fighter
180,я пойду пиратом вторым,я пойду вторым пиратом,choose_your_fighter,fighter
181,первая пиратка идет в ход,первый пират делает ход,choose_your_fighter,fighter
182,на корабле гулял я,хожу корабликом,choose_your_fighter,fighter
183,я хочу пойти с другим пиратом,хочу ходить вторым пиратом,choose_your_fighter,fighter
184,хочу на лодке плавать,хочу поплавать судном,choose_your_fighter,fighter
185,движется корабль,кораблик делает ход,choose_your_fighter,fighter
186,кораблем двигай,дваигаюсь кораблем,choose_your_fighter,fighter
187,хотелось бы я пирата третьего,хочу ходить третьим пиратом,choose_your_fighter,fighter
188,хожу пиратом номер три,хожу пиратом номер три,choose_your_fighter,fighter
189,я один номер пират,хожу пиратом номер один,choose_your_fighter,fighter
190,я с другим пойти хочу пиратом,хочу ходить вторым пиратом,choose_your_fighter,fighter
191,второй человек,дваигаюсь вторым человечком,choose_your_fighter,fighter
192,другой пират делает ход,второй пират делает ход,choose_your_fighter,fighter
193,я поеду с другим пиратом,я пойду вторым пиратом,choose_your_fighter,fighter
194,я первый человек,дваигаюсь первым человечком,choose_your_fighter,fighter
195,пират пойду первый я,я пойду первым пиратом,choose_your_fighter,fighter
196,другой пират ход делает,второй пират делает ход,choose_your_fighter,fighter
197,я пойду на второй пират,я пойду вторым пиратом,choose_your_fighter,fighter
198,бы я хотелось третьего пирата,хочу ходить третьим пиратом,choose_your_fighter,fighter
199,я на третьего пойду пирата,я пойду третьим пиратом,choose_your_fighter,fighter
200,я в первый пойду пират,я пойду первым пиратом,choose_your_fighter,fighter
201,первым двигайся человеком,дваигаюсь первым человечком,choose_your_fighter,fighter
202,я первой быть хочу пираткой,хочу ходить первым пиратом,choose_your_fighter,fighter
203,хочу первым ходить пиратом,хочу ходить первым пиратом,choose_your_fighter,fighter
204,на корабле буду ходить я,я буду ходить кораблем,choose_your_fighter,fighter
205,ходить буду я третьим пиратом,я буду ходить третьим пиратом,choose_your_fighter,fighter
206,я на корабле ходить буду,я буду ходить кораблем,choose_your_fighter,fighter
207,мертваря два,дваигаюсь кораблем,choose_your_fighter,fighter
208,с другой фигурой,фигуркой номер два,choose_your_fighter,fighter
209,ход пират сделал второй,второй пират делает ход,choose_your_fighter,fighter
210,три пирата ход делают,третий пират делает ход,choose_your_fighter,fighter
211,я пойти хочу на третьего пирата,хочу ходить третьим пиратом,choose_your_fighter,fighter
212,фигурка номер один,фигуркой номер один,choose_your_fighter,fighter
213,три пирата делают ход,третий пират делает ход,choose_your_fighter,fighter
214,на корабле поеду я,хожу корабликом,choose_your_fighter,fighter
215,на судне,на корабле,choose_your_fighter,fighter
216,я хочу быть пиратом,хожу пиратом номер два,choose_your_fighter,fighter
217,второй делает пират ход,второй пират делает ход,choose_your_fighter,fighter
218,я идти буду второй пират,я буду ходить вторым пиратом,choose_your_fighter,fighter
219,я пойду в первый пират,я пойду первым пиратом,choose_your_fighter,fighter
220,я поеду на корабле,хожу корабликом,choose_your_fighter,fighter
221,я иду три пират номер как,хожу пиратом номер три,choose_your_fighter,fighter
222,третья я,дваигаюсь третьим человечком,choose_your_fighter,fighter
223,хочу я быть пиратом,хожу пиратом номер два,choose_your_fighter,fighter
224,хожу пиратом номер два,хожу пиратом номер два,choose_your_fighter,fighter
225,я пойду на третьего пирата,я пойду третьим пиратом,choose_your_fighter,fighter
226,три номер,фигуркой номер три,choose_your_fighter,fighter
227,номер один,фигуркой номер один,choose_your_fighter,fighter
228,я хочу быть пиратом,хожу пиратом номер три,choose_your_fighter,fighter
229,иду я как пират,хожу пиратом номер три,choose_your_fighter,fighter
230,я хочу быть пиратом,хожу пиратом номер один,choose_your_fighter,fighter
231,я пират два номер,хожу пиратом номер два,choose_your_fighter,fighter
232,пиратом хочу быть я,хожу пиратом номер три,choose_your_fighter,fighter
233,я буду ходить первым пиратом,я буду ходить первым пиратом,choose_your_fighter,fighter
234,я буду первым пиратом,я буду ходить первым пиратом,choose_your_fighter,fighter
235,пиратом хочу быть я,хожу пиратом номер один,choose_your_fighter,fighter
236,хочу я быть пиратом,хожу пиратом номер три,choose_your_fighter,fighter
237,другая фигура,фигуркой номер два,choose_your_fighter,fighter
238,я бы хотел другой быть пират,хочу ходить вторым пиратом,choose_your_fighter,fighter
239,хочу я быть пиратом,хожу пиратом номер один,choose_your_fighter,fighter
240,я пираткой первой буду,я буду ходить первым пиратом,choose_your_fighter,fighter
241,другая пиратка свой делает ход,второй пират делает ход,choose_your_fighter,fighter
242,на корабле поеду я,я пойду кораблем,choose_your_fighter,fighter
243,сделал пират второй ход,второй пират делает ход,choose_your_fighter,fighter
244,я быть хочу пиратом,хожу пиратом номер два,choose_your_fighter,fighter
245,поеду я на корабле,хожу корабликом,choose_your_fighter,fighter
246,я поеду на корабле,я пойду кораблем,choose_your_fighter,fighter
247,два мэртваря,дваигаюсь кораблем,choose_your_fighter,fighter
248,корабль движется,кораблик делает ход,choose_your_fighter,fighter
249,я буду пассажир как третий идти,я буду ходить третьим пиратом,choose_your_fighter,fighter
250,я пойду пират второй,я пойду вторым пиратом,choose_your_fighter,fighter
251,первым пойду я пиратом,я пойду первым пиратом,choose_your_fighter,fighter
252,на третьего пойду я пирата,я пойду третьим пиратом,choose_your_fighter,fighter
253,движется машина,кораблик делает ход,choose_your_fighter,fighter
254,фигурка два номер,фигуркой номер два,choose_your_fighter,fighter
255,я быть хочу пиратом,хожу пиратом номер один,choose_your_fighter,fighter
256,я корабликом иду,хожу корабликом,choose_your_fighter,fighter
257,вторым буду ходить я пиратом,я буду ходить вторым пиратом,choose_your_fighter,fighter
258,на третий пойду я пират,я пойду третьим пиратом,choose_your_fighter,fighter
259,быть хочу я пиратом,хожу пиратом номер два,choose_your_fighter,fighter
260,хочу ходить вторым пиратом,хочу ходить вторым пиратом,choose_your_fighter,fighter
261,я пират один номер,хожу пиратом номер один,choose_your_fighter,fighter
262,пойду я к третьему пирату,я пойду третьим пиратом,choose_your_fighter,fighter
263,фигура номер три,фигуркой номер три,choose_your_fighter,fighter
264,я бы хотел быть первой пираткой,хочу ходить первым пиратом,choose_your_fighter,fighter
265,хотел бы я быть пиратом третьим,хочу ходить третьим пиратом,choose_your_fighter,fighter
266,близнецы и другие,дваигаюсь вторым человечком,choose_your_fighter,fighter
267,пойду я кораблем,я пойду кораблем,choose_your_fighter,fighter
268,номер фигуркой один,фигуркой номер один,choose_your_fighter,fighter
269,человечком вторым дваигаюсь,дваигаюсь вторым человечком,choose_your_fighter,fighter
270,я с другим пойду пиратом,я буду ходить вторым пиратом,choose_your_fighter,fighter
271,хотел бы я быть третьим пиратом,хочу ходить третьим пиратом,choose_your_fighter,fighter
272,ход пират делает первый,первый пират делает ход,choose_your_fighter,fighter
273,я буду второй пират,я буду ходить вторым пиратом,choose_your_fighter,fighter
274,я буду в третьем ходить пирате,я буду ходить третьим пиратом,choose_your_fighter,fighter
275,на лодку пойду я,я буду ходить кораблем,choose_your_fighter,fighter
276,я пиратом быть хочу,хожу пиратом номер один,choose_your_fighter,fighter
277,кораблем буду ходить я,я буду ходить кораблем,choose_your_fighter,fighter
278,делает кораблик ход,кораблик делает ход,choose_your_fighter,fighter
279,бы я хотел быть первым пиратом,хочу ходить первым пиратом,choose_your_fighter,fighter
280,я пойду кораблем,я пойду кораблем,choose_your_fighter,fighter
281,дваигаюсь первым человечком,дваигаюсь первым человечком,choose_your_fighter,fighter
282,на корабль пойду я,я пойду кораблем,choose_your_fighter,fighter
283,близнецы другие люди,дваигаюсь вторым человечком,choose_your_fighter,fighter
284,хочу третьим ходить пиратом,хочу ходить третьим пиратом,choose_your_fighter,fighter
285,пиратом буду первым я,я буду ходить первым пиратом,choose_your_fighter,fighter
286,второй пойду я пират,я пойду вторым пиратом,choose_your_fighter,fighter
287,я пойду с другим пиратом,я буду ходить вторым пиратом,choose_your_fighter,fighter
288,я буду ходить пирате в третьем,я буду ходить третьим пиратом,choose_your_fighter,fighter
289,я буду вторым ходить пиратом,я буду ходить вторым пиратом,choose_your_fighter,fighter
290,я пойду на лодку,я буду ходить кораблем,choose_your_fighter,fighter
291,корабликом хожу,хожу корабликом,choose_your_fighter,fighter
292,человеком третьим двадцать,дваигаюсь третьим человечком,choose_your_fighter,fighter
293,буду я ходить на лодке,я буду ходить кораблем,choose_your_fighter,fighter
294,пошевеливайся как первый человек,дваигаюсь первым человечком,choose_your_fighter,fighter
295,ход пирата делают три,третий пират делает ход,choose_your_fighter,fighter
296,я буду ходить на корабле,я буду ходить кораблем,choose_your_fighter,fighter
297,человек другой,дваигаюсь вторым человечком,choose_your_fighter,fighter
298,я буду пиратом первым,я буду ходить первым пиратом,choose_your_fighter,fighter
299,из пиратов один я,хожу пиратом номер один,choose_your_fighter,fighter
300,я пойду пирата на третьего,я пойду третьим пиратом,choose_your_fighter,fighter
301,фигуркой один номер,фигуркой номер один,choose_your_fighter,fighter
302,близнецы люди другие,дваигаюсь вторым человечком,choose_your_fighter,fighter
303,двадцать третьим человеком,дваигаюсь третьим человечком,choose_your_fighter,fighter
304,один номер,фигуркой номер один,choose_your_fighter,fighter
305,пират пойду в первый я,я пойду первым пиратом,choose_your_fighter,fighter
306,хочу ходить пиратом вторым,хочу ходить вторым пиратом,choose_your_fighter,fighter
307,я пойду второй пират,я пойду вторым пиратом,choose_your_fighter,fighter
308,хочу ходить третьим пиратом,хочу ходить третьим пиратом,choose_your_fighter,fighter
309,пиратом буду ходить первым я,я буду ходить первым пиратом,choose_your_fighter,fighter
310,пошевеливайся человек первый как,дваигаюсь первым человечком,choose_your_fighter,fighter
311,я пойду вторым пиратом,я пойду вторым пиратом,choose_your_fighter,fighter
312,первым буду ходить я пиратом,я буду ходить первым пиратом,choose_your_fighter,fighter
313,буду я идти второй пират,я буду ходить вторым пиратом,choose_your_fighter,fighter
314,другие близнецы люди,дваигаюсь вторым человечком,choose_your_fighter,fighter
315,я на корабле плавать хочу,хочу поплавать судном,choose_your_fighter,fighter
316,первый я человек,дваигаюсь первым человечком,choose_your_fighter,fighter
317,я буду пират второй,я буду ходить вторым пиратом,choose_your_fighter,fighter
318,кораблем дваигаюсь,дваигаюсь кораблем,choose_your_fighter,fighter
319,я пойду на третий пират,я пойду третьим пиратом,choose_your_fighter,fighter
320,человечком первым дваигаюсь,дваигаюсь первым человечком,choose_your_fighter,fighter
321,фигуркой номер один,фигуркой номер один,choose_your_fighter,fighter
322,пират пойду второй я,я пойду вторым пиратом,choose_your_fighter,fighter
323,корабль двигается,кораблик делает ход,choose_your_fighter,fighter
324,я на корабле поеду,я пойду кораблем,choose_your_fighter,fighter
325,я пиратом первым пойду,я пойду первым пиратом,choose_your_fighter,fighter
326,я пойду к третьему пирату,я пойду третьим пиратом,choose_your_fighter,fighter
327,я пойду пиратом с другим,я буду ходить вторым пиратом,choose_your_fighter,fighter
328,пойти хочу я на третьего пирата,хочу ходить третьим пиратом,choose_your_fighter,fighter
329,на корабле,на корабле,choose_your_fighter,fighter
330,три номера,фигуркой номер три,choose_your_fighter,fighter
331,пират третий делает ход,третий пират делает ход,choose_your_fighter,fighter
332,на судне поплавать хочу,хочу поплавать судном,choose_your_fighter,fighter
333,я хочу пират второй пойти,хочу ходить вторым пиратом,choose_your_fighter,fighter
334,я третья,дваигаюсь третьим человечком,choose_your_fighter,fighter
335,человечком третьим дваигаюсь,дваигаюсь третьим человечком,choose_your_fighter,fighter
336,я третий идти как буду пассажир,я буду ходить третьим пиратом,choose_your_fighter,fighter
337,двигайся человеком первым,дваигаюсь первым человечком,choose_your_fighter,fighter
338,я иду как пират номер три,хожу пиратом номер три,choose_your_fighter,fighter
339,пират иду как я номер три,хожу пиратом номер три,choose_your_fighter,fighter
340,фигурка номер три,фигуркой номер три,choose_your_fighter,fighter
341,фигурой с другой,фигуркой номер два,choose_your_fighter,fighter
342,я хочу пойти на третьего пирата,хочу ходить третьим пиратом,choose_your_fighter,fighter
343,третьим дваигаюсь человечком,дваигаюсь третьим человечком,choose_your_fighter,fighter
344,два мертваря,дваигаюсь кораблем,choose_your_fighter,fighter
345,быть бы хотел я первой пираткой,хочу ходить первым пиратом,choose_your_fighter,fighter
346,ходил я на корабль,хожу корабликом,choose_your_fighter,fighter
347,я на корабле гулял,хожу корабликом,choose_your_fighter,fighter
348,пират первый я,я буду ходить первым пиратом,choose_your_fighter,fighter
349,двигай кораблем,дваигаюсь кораблем,choose_your_fighter,fighter
350,фигуркой три номер,фигуркой номер три,choose_your_fighter,fighter
351,номер три,фигуркой номер три,choose_your_fighter,fighter
352,я иду пират как,хожу пиратом номер три,choose_your_fighter,fighter
353,пирате буду ходить в третьем я,я буду ходить третьим пиратом,choose_your_fighter,fighter
354,второй пират делает ход,второй пират делает ход,choose_your_fighter,fighter
355,два пиратом номер хожу,хожу пиратом номер два,choose_your_fighter,fighter
356,я буду ходить как третий пират,я буду ходить третьим пиратом,choose_your_fighter,fighter
357,я пират как иду,хожу пиратом номер три,choose_your_fighter,fighter
358,я пиратом с другим пойду,я буду ходить вторым пиратом,choose_your_fighter,fighter
359,я первой буду пираткой,я буду ходить первым пиратом,choose_your_fighter,fighter
360,я к третьему пойду пирату,я пойду третьим пиратом,choose_your_fighter,fighter
361,дваигаюсь вторым человечком,дваигаюсь вторым человечком,choose_your_fighter,fighter
362,делает пират первый ход,первый пират делает ход,choose_your_fighter,fighter
363,номер пират я два,хожу пиратом номер два,choose_your_fighter,fighter
364,я из пиратов один,хожу пиратом номер один,choose_your_fighter,fighter
365,ход делает кораблик,кораблик делает ход,choose_your_fighter,fighter
366,машина ход делает корабля,кораблик делает ход,choose_your_fighter,fighter
367,первым буду я пиратом,я буду ходить первым пиратом,choose_your_fighter,fighter
368,фигура номер один,фигуркой номер один,choose_your_fighter,fighter
369,я три как пират номер иду,хожу пиратом номер три,choose_your_fighter,fighter
370,я кораблем пойду,я пойду кораблем,choose_your_fighter,fighter
371,я буду ходить кораблем,я буду ходить кораблем,choose_your_fighter,fighter
372,я третий человек,дваигаюсь третьим человечком,choose_your_fighter,fighter
373,человек третий я,дваигаюсь третьим человечком,choose_your_fighter,fighter
374,формат другой,фигуркой номер два,choose_your_fighter,fighter
375,другой человек,дваигаюсь вторым человечком,choose_your_fighter,fighter
376,номер фигуркой три,фигуркой номер три,choose_your_fighter,fighter
377,третий сделал пират ход,третий пират делает ход,choose_your_fighter,fighter
0,слева пойдем мы,мы поплывем слева,move_ship_by_direction,ship_direction
1,вверх отчаялся я,отчаливаю вверх,move_ship_by_direction,ship_direction
