,Unnamed: 0,command,orig,intent,entity
268,268,я никогда не был в пиратском путешествии,первым пойду я пиратом,choose_your_fighter,fighter
269,269,я на лодку пойду,на лодку пойду я,choose_your_fighter,fighter
270,270,первая пиратка в ход идет,первая пиратка идет в ход,choose_your_fighter,fighter
274,274,я хочу поплавать на корабле,я на корабле плавать хочу,choose_your_fighter,fighter
275,275,я пиратом вторым буду,я буду вторым ходить пиратом,choose_your_fighter,fighter
276,276,я пойду с другим пиратом,я поеду пиратом с другим,choose_your_fighter,fighter
277,277,ходить буду я на корабле,я на корабле ходить буду,choose_your_fighter,fighter
279,279,я на судне был,я ходил на корабль,choose_your_fighter,fighter
283,283,первым бы хотелось быть мне пиратом,я бы хотел быть первой пираткой,choose_your_fighter,fighter
285,285,я буду ходить раз в третий,я в третьем ходить буду пирате,choose_your_fighter,fighter
286,286,я хочу пойти с другим пиратом,я хочу пойти с другим пиратом,choose_your_fighter,fighter
287,287,разные близнецы,близнецы люди другие,choose_your_fighter,fighter
288,288,номер фигуры,номер фигуркой один,choose_your_fighter,fighter
297,297,я буду ходить на лодке,я ходить буду кораблем,choose_your_fighter,fighter
298,298,я пойду на корабль,я на корабль пойду,choose_your_fighter,fighter
299,299,не такие близнецы как все,близнецы другие люди,choose_your_fighter,fighter
300,300,пойду я на лодку,я на лодке ходить буду,choose_your_fighter,fighter
301,301,первая я,я первый,choose_your_fighter,fighter
305,305,я на корабль пойду,я буду ходить кораблем,choose_your_fighter,fighter
307,307,я попасть хочу на корабль,хочу судном поплавать,choose_your_fighter,fighter
310,310,иду я вместе с пиратами,иду я как пират,choose_your_fighter,fighter
311,311,я буду пиратом первым,я буду первой пираткой,choose_your_fighter,fighter
315,315,я хочу поплавать на судне,поплавать хочу судном,choose_your_fighter,fighter
316,316,первый человек к которому я приближаюсь,человечком первым дваигаюсь,choose_your_fighter,fighter
318,318,на якорь встал корабль,кораблем дваигаюсь,choose_your_fighter,fighter
322,322,я буду ходить в третий раз,я в третьем ходить буду пирате,choose_your_fighter,fighter
326,326,я пойду на корабль,на лодку пойду я,choose_your_fighter,fighter
327,327,я пойду вместе с другим пиратом,пойду я вторым пиратом,choose_your_fighter,fighter
328,328,фигурка номер один,фигуркой номер один,choose_your_fighter,fighter
329,329,другая пиратка делает свой ход,другая пиратка свой делает ход,choose_your_fighter,fighter
330,330,хочу я поплавать в лодке,хочу на лодке плавать,choose_your_fighter,fighter
331,331,я пойду к третьему пирату,я пойду пирата на третьего,choose_your_fighter,fighter
332,332,хотел бы я быть другим пиратом,хотел бы я быть другим пиратом,choose_your_fighter,fighter
334,334,пиратский ход был вторым,ход пират сделал второй,choose_your_fighter,fighter
335,335,идти я хочу на третьем,на третьего хочу пойти я пирата,choose_your_fighter,fighter
337,337,нужна мне третья пиратка,бы я хотелось третьего пирата,choose_your_fighter,fighter
339,339,я на корабль ходила,на корабль ходил я,choose_your_fighter,fighter
340,340,я буду вторым пиратом,я буду пират второй,choose_your_fighter,fighter
341,341,я по кораблю ходить буду,я ходить буду кораблем,choose_your_fighter,fighter
343,343,хочу я поплавать,хочу судном поплавать,choose_your_fighter,fighter
347,347,первым буду пиратом я,пиратом буду первым я,choose_your_fighter,fighter
352,352,гулял на корабле я,на корабле гулял я,choose_your_fighter,fighter
356,356,я буду идти на второй корабль,я буду идти второй пират,choose_your_fighter,fighter
357,357,хочу я быть первым в мире,хочу первым ходить пиратом,choose_your_fighter,fighter
361,361,жаль что не пират я,я бы хотел быть другой пират,choose_your_fighter,fighter
371,371,комнаты две с фигурами,два номер фигуркой,choose_your_fighter,fighter
373,373,вот как я хожу,я пират как иду,choose_your_fighter,fighter
374,374,вторым хочу быть пиратом я,вторым ходить хочу пиратом,choose_your_fighter,fighter
376,376,я бы хотел первой быть пираткой,хотел бы я пиратом первым быть,choose_your_fighter,fighter
381,381,я хочу быть пиратом третьим,третьим ходить хочу пиратом,choose_your_fighter,fighter
386,386,хочу на корабле плавать я,я на корабле плавать хочу,choose_your_fighter,fighter
390,390,мне нужно поплавать я а хочу плавать,хочу судном поплавать,choose_your_fighter,fighter
392,392,хочу поехать с пиратами матч на третий,я хочу на третьего пойти пирата,choose_your_fighter,fighter
395,395,пошевеливайся как первый человек,двигайся первым человеком,choose_your_fighter,fighter
397,397,я никогда в пиратском не был путешествии,первым пойду я пиратом,choose_your_fighter,fighter
398,398,хотел еще быть бы я третьим капитаном,бы я хотел быть третьим пиратом,choose_your_fighter,fighter
399,399,поплавать хочу в лодке,я хочу на корабле плавать,choose_your_fighter,fighter
400,400,я поеду на корабле,я корабликом иду,choose_your_fighter,fighter
401,401,двенадцать третье человек,двадцать человеком третьим,choose_your_fighter,fighter
403,403,я хочу быть пираткой первой,хочу ходить первым пиратом,choose_your_fighter,fighter
406,406,хотел другим пиратом бы я быть,хотел другим быть бы я пиратом,choose_your_fighter,fighter
409,409,третий я,третий я человек,choose_your_fighter,fighter
410,410,буду я первой пираткой,первой буду я пираткой,choose_your_fighter,fighter
411,411,третий человек я,человек третий я,choose_your_fighter,fighter
416,416,я пиратом вторым буду,я буду вторым пиратом,choose_your_fighter,fighter
421,421,пойду я первым пиратом,я пират первый пойду,choose_your_fighter,fighter
425,425,кораблем двигай,кораблем двигай,choose_your_fighter,fighter
426,426,я вот как хожу,я пират как иду,choose_your_fighter,fighter
428,428,номер один,фигура номер один,choose_your_fighter,fighter
429,429,на судне хочу поплавать,хочу на судне поплавать,choose_your_fighter,fighter
430,430,на корабле я гулял,я на корабле гулял,choose_your_fighter,fighter
431,431,я хочу на корабле плавать,хочу я плавать на корабле,choose_your_fighter,fighter
432,432,шаг первый чувак,первый как пошевеливайся человек,choose_your_fighter,fighter
436,436,корабль движется,кораблик делает ход,choose_your_fighter,fighter
441,441,я хочу чтобы я был пиратом,первой хочу быть я пираткой,choose_your_fighter,fighter
442,442,кораблем двигай,двигай кораблем,choose_your_fighter,fighter
443,443,я пойду на корабль,буду я ходить на лодке,choose_your_fighter,fighter
446,446,еще одна фигура,с другой фигурой,choose_your_fighter,fighter
449,449,первый пират сделал свой ход,первый пират сделал ход,choose_your_fighter,fighter
452,452,фигура другая,с другой фигурой,choose_your_fighter,fighter
453,453,фигурка номера три,фигурка три номер,choose_your_fighter,fighter
457,457,двадцать третьим человеком,двадцать человеком третьим,choose_your_fighter,fighter
458,458,хочу первым быть пиратом,я хочу быть первой пираткой,choose_your_fighter,fighter
466,466,я хочу на корабле поплавать,хочу поплавать на судне,choose_your_fighter,fighter
467,467,хочу я плавать на корабле,я на корабле плавать хочу,choose_your_fighter,fighter
472,472,хочу на лодке плавать,хочу я плавать на корабле,choose_your_fighter,fighter
475,475,пойду я с другим пиратом,буду я идти второй пират,choose_your_fighter,fighter
476,476,номер три,номер три,choose_your_fighter,fighter
477,477,хочу пойти с другой пираткой,я хочу пойти с другим пиратом,choose_your_fighter,fighter
479,479,в лодке поплавать хочу,я хочу плавать на корабле,choose_your_fighter,fighter
481,481,близнецы разные,близнецы люди другие,choose_your_fighter,fighter
486,486,я бы хотел чтобы был я пиратом,я бы хотел другой быть пират,choose_your_fighter,fighter
487,487,пират с пиратом третий ход сделал,сделал пират третий ход,choose_your_fighter,fighter
489,489,я на корабле гулял,хожу корабликом,choose_your_fighter,fighter
490,490,я бы хотел быть первым пиратом,быть бы хотел я первой пираткой,choose_your_fighter,fighter
496,496,машина движется,кораблик делает ход,choose_your_fighter,fighter
498,498,один только у меня номер,хожу пиратом один номер,choose_your_fighter,fighter
506,506,третьего хочу я пирата,бы я хотелось третьего пирата,choose_your_fighter,fighter
507,507,первая идет в ход пиратка,первая в ход идет пиратка,choose_your_fighter,fighter
509,509,жаль что я не пират,хотел бы я быть пиратом третьим,choose_your_fighter,fighter
510,510,я на корабле плавать хочу,я на корабле плавать хочу,choose_your_fighter,fighter
515,515,первым я буду с пиратами ходить,первым буду ходить я пиратом,choose_your_fighter,fighter
517,517,я ходил на корабль,я гулял на корабле,choose_your_fighter,fighter
520,520,первым буду я пиратом,я первой буду пираткой,choose_your_fighter,fighter
522,522,буду я другой пиратом,пират буду второй я,choose_your_fighter,fighter
527,527,я был на судне,я ходил на корабль,choose_your_fighter,fighter
529,529,я хочу быть первым пиратом,я пиратом ходить первым буду,choose_your_fighter,fighter
531,531,пойти хочу я с другим пиратом,ходить хочу вторым пиратом,choose_your_fighter,fighter
533,533,буду на лодке ходить я,буду я ходить на лодке,choose_your_fighter,fighter
539,539,ходил на корабль я,ходил я на корабль,choose_your_fighter,fighter
540,540,движется машина,кораблик делает ход,choose_your_fighter,fighter
543,543,первым хочу быть я пиратом,хочу я быть первой пираткой,choose_your_fighter,fighter
545,545,другим хотел быть бы я пиратом,хотел другим быть бы я пиратом,choose_your_fighter,fighter
547,547,хочу в лодке поплавать,на судне поплавать хочу,choose_your_fighter,fighter
548,548,может быть я пойду на второй корабль,буду я идти второй пират,choose_your_fighter,fighter
549,549,я хочу третьего пирата,я пойти хочу на третьего пирата,choose_your_fighter,fighter
550,550,я на корабле поеду,хожу корабликом,choose_your_fighter,fighter
553,553,я буду первым пиратом,я буду пираткой первой,choose_your_fighter,fighter
554,554,формат другого формата,формат другой,choose_your_fighter,fighter
555,555,если бы я был первым пиратом,быть бы хотел я первой пираткой,choose_your_fighter,fighter
556,556,хочу я быть пиратом,я пиратом быть хочу,choose_your_fighter,fighter
559,559,другие люди родственники,другие близнецы люди,choose_your_fighter,fighter
565,565,я в мире человек первый,первый я человек,choose_your_fighter,fighter
569,569,первым я пойду пиратом,я первым пойду пиратом,choose_your_fighter,fighter
573,573,я первый приблизился к нему,человечком первым дваигаюсь,choose_your_fighter,fighter
574,574,бы я хотел быть первым пиратом,хочу пиратом первым ходить,choose_your_fighter,fighter
575,575,в лодке хочу поплавать я,хочу на лодке плавать,choose_your_fighter,fighter
578,578,первым кто шевелится является человек,первым двигайся человеком,choose_your_fighter,fighter
580,580,пиратка первая в очереди,первая в ход идет пиратка,choose_your_fighter,fighter
582,582,три пирата идут в поход,три пирата делают ход,choose_your_fighter,fighter
588,588,я хочу быть вторым пиратом,вторым ходить хочу пиратом,choose_your_fighter,fighter
589,589,другие и близнецы,дваигаюсь вторым человечком,choose_your_fighter,fighter
591,591,я один из пиратов,хожу пиратом номер один,choose_your_fighter,fighter
593,593,третья я,пиратом пойду третьим я,choose_your_fighter,fighter
597,597,я на пирата пойду,я пойду на второй пират,choose_your_fighter,fighter
598,598,на корабле ходить буду я,на корабле буду ходить я,choose_your_fighter,fighter
601,601,на корабле гулял я,я гулял на корабле,choose_your_fighter,fighter
604,604,я был на корабле,я ходил на корабль,choose_your_fighter,fighter
605,605,поехала хочу чтобы я я,я хочу пойти второй пират,choose_your_fighter,fighter
608,608,я буду пассажиром третьим,ходить буду я третьим пиратом,choose_your_fighter,fighter
610,610,я ходил на корабль,на корабль ходил я,choose_your_fighter,fighter
618,618,я иду на третий,я пойду пират на третий,choose_your_fighter,fighter
624,624,пошевелиться как первый мужчина,пошевеливайся как первый человек,choose_your_fighter,fighter
627,627,буду я вторым пиратом,я буду вторым пиратом,choose_your_fighter,fighter
633,633,пойду я пирата на третьего,я пойду пирата на третьего,choose_your_fighter,fighter
636,636,я на корабль ходил,на корабле гулял я,choose_your_fighter,fighter
638,638,я бы хотел быть первой пираткой,хочу первым ходить пиратом,choose_your_fighter,fighter
640,640,я пиратом пойду с другим,я с другим пойду пиратом,choose_your_fighter,fighter
645,645,я должен пойти с ним,пиратом хочу пойти с другим я,choose_your_fighter,fighter
647,647,я поплыву на корабле,я корабликом иду,choose_your_fighter,fighter
651,651,я хотела пираткой стать первой,первой хочу быть я пираткой,choose_your_fighter,fighter
652,652,хочу на лодке плавать,поплавать хочу судном,choose_your_fighter,fighter
654,654,фигуры номер,номер фигуркой три,choose_your_fighter,fighter
657,657,бы я хотел быть третьим пиратом,хотел бы я быть пиратом третьим,choose_your_fighter,fighter
663,663,первый я человек,первый я человек,choose_your_fighter,fighter
664,664,я бы хотел быть первой пираткой,я бы хотел быть первой пираткой,choose_your_fighter,fighter
667,667,кораблем двигайтесь,кораблем двигай,choose_your_fighter,fighter
668,668,я бы хотел пиратом быть,я пират быть другой бы хотел,choose_your_fighter,fighter
671,671,хотел бы я быть третьим пиратом,хотелось бы я третьего пирата,choose_your_fighter,fighter
674,674,я гулял на корабле,на корабле гулял я,choose_your_fighter,fighter
675,675,хочу я пираткой первой быть,хочу я быть первой пираткой,choose_your_fighter,fighter
676,676,я пиратка,пират я,choose_your_fighter,fighter
677,677,другой человек,дваигаюсь вторым человечком,choose_your_fighter,fighter
685,685,на судне хочу поплавать,на судне поплавать хочу,choose_your_fighter,fighter
686,686,мне бы хотелось пираткой еще одной быть,хотел бы я быть другим пиратом,choose_your_fighter,fighter
688,688,кораблем двигайтесь,двигай кораблем,choose_your_fighter,fighter
693,693,пойду я к третьему пирату,я пойду к третьему пирату,choose_your_fighter,fighter
694,694,я должен быть с другой пираткой,я хочу пойти с другим пиратом,choose_your_fighter,fighter
695,695,пират я,я из пиратов один,choose_your_fighter,fighter
700,700,иду я вместе с пиратами,я иду как пират,choose_your_fighter,fighter
701,701,я иду в три пирата,я иду три пират номер как,choose_your_fighter,fighter
702,702,жаль что я не пират,хотелось бы я пирата третьего,choose_your_fighter,fighter
703,703,другие близнецы другие и,близнецы другие и,choose_your_fighter,fighter
704,704,я на пирата пойти хочу,я хочу пират второй пойти,choose_your_fighter,fighter
705,705,я пиратом буду первым,я буду пиратом первым,choose_your_fighter,fighter
706,706,я был первым пиратом,я первый пират,choose_your_fighter,fighter
707,707,я на корабль пойду,я буду ходить на корабле,choose_your_fighter,fighter
708,708,я пиратом вторым буду,я буду пират второй,choose_your_fighter,fighter
710,710,мне пойти нужно с ним,пиратом хочу пойти с другим я,choose_your_fighter,fighter
713,713,я хочу на корабле поплавать,судном поплавать хочу,choose_your_fighter,fighter
716,716,я на корабль пойду,кораблем буду ходить я,choose_your_fighter,fighter
717,717,другой бы это был кто то если я был бы пиратом,я пират быть другой бы хотел,choose_your_fighter,fighter
720,720,я на корабль пойду,пойду я на корабль,choose_your_fighter,fighter
721,721,я первый в пиратство пойду,я первым пойду пиратом,choose_your_fighter,fighter
722,722,хочу с другой пойти пираткой,я хочу пойти второй пират,choose_your_fighter,fighter
725,725,я встречаюсь с тремя пиратами,я иду три пират номер как,choose_your_fighter,fighter
732,732,я поплыву пойду а я на корабле,корабликом иду я,choose_your_fighter,fighter
734,734,вторым буду я пиратом,я буду вторым ходить пиратом,choose_your_fighter,fighter
736,736,я пойду с другим пиратом,я идти буду второй пират,choose_your_fighter,fighter
738,738,на корабле хочу поплавать я,я на корабле плавать хочу,choose_your_fighter,fighter
740,740,я хочу на корабль попасть,хочу плавать на лодке,choose_your_fighter,fighter
741,741,я на корабль пойду,пойду я кораблем,choose_your_fighter,fighter
750,750,бы я хотел быть третьим капитаном,бы я хотел быть третьим пиратом,choose_your_fighter,fighter
752,752,кораблем ходить буду я,кораблем буду ходить я,choose_your_fighter,fighter
753,753,я пойти хочу с другим пиратом,я с другим пойти хочу пиратом,choose_your_fighter,fighter
754,754,это мой первый раз,я в первый пойду пират,choose_your_fighter,fighter
755,755,у меня есть только одна комната,хожу пиратом один номер,choose_your_fighter,fighter
760,760,я буду ходить на корабле,на корабле буду ходить я,choose_your_fighter,fighter
764,764,я пойду с другим пиратом,буду я идти второй пират,choose_your_fighter,fighter
768,768,я хочу пираткой быть,хочу я быть пиратом,choose_your_fighter,fighter
771,771,движется корабль,движется корабль,choose_your_fighter,fighter
774,774,я хочу к пирату присоединиться,я хочу пират второй пойти,choose_your_fighter,fighter
775,775,мне бы хотелось быть пиратом,я бы хотел быть другой пират,choose_your_fighter,fighter
777,777,я пиратом чтобы я был бы хотел,я бы хотел другой быть пират,choose_your_fighter,fighter
781,781,я пойду первым,пират пойду в первый я,choose_your_fighter,fighter
784,784,второй человек,дваигаюсь вторым человечком,choose_your_fighter,fighter
785,785,кораблем иду я я иду,корабликом иду я,choose_your_fighter,fighter
789,789,хотел пиратом быть бы я третьим,хотел бы я быть пиратом третьим,choose_your_fighter,fighter
790,790,первой буду я пираткой,я буду первым пиратом,choose_your_fighter,fighter
799,799,хотелось бы я третьего пирата,хотел бы я быть пиратом третьим,choose_your_fighter,fighter
800,800,я бы хотела первой быть пираткой,бы я хотел быть первым пиратом,choose_your_fighter,fighter
802,802,на пирата пойду я,я пойду на второй пират,choose_your_fighter,fighter
803,803,я на корабле поплыву,поеду я на корабле,choose_your_fighter,fighter
804,804,третий я человек,дваигаюсь третьим человечком,choose_your_fighter,fighter
805,805,пиратка в очереди первая,в ход пиратка идет первая,choose_your_fighter,fighter
813,813,на корабле хочу поплавать я,хочу плавать на лодке,choose_your_fighter,fighter
814,814,пошевеливайся как человек первый,двигайся человеком первым,choose_your_fighter,fighter
819,819,первый пират в ход идет в мире,первая пиратка в ход идет,choose_your_fighter,fighter
820,820,корабль сделал шаг,ход делает кораблик,choose_your_fighter,fighter
823,823,первый я пират,пират первый я,choose_your_fighter,fighter
824,824,ходил на корабль я,на корабль ходил я,choose_your_fighter,fighter
828,828,пиратка я во вторых,второй пойду я пират,choose_your_fighter,fighter
832,832,второй пойду я пиратом,пиратом пойду вторым я,choose_your_fighter,fighter
836,836,я пиратом первым буду,буду я первой пираткой,choose_your_fighter,fighter
837,837,еще одна фигура,другая фигура,choose_your_fighter,fighter
841,841,пошевеливайся человек первый как,двигайся первым человеком,choose_your_fighter,fighter
842,842,я на корабль попасть хочу,плавать хочу на лодке,choose_your_fighter,fighter
844,844,я хочу быть пиратом,хочу ходить пиратом вторым,choose_your_fighter,fighter
846,846,пойду я с другой пираткой,я пойду второй пират,choose_your_fighter,fighter
847,847,хотел бы я третьим быть капитаном,бы я хотел быть третьим пиратом,choose_your_fighter,fighter
848,848,я перейду на другую,я пойду пират на второй,choose_your_fighter,fighter
851,851,я хочу попасть на корабль,я на корабле плавать хочу,choose_your_fighter,fighter
852,852,я хочу я чтобы была пираткой,хочу я быть пиратом,choose_your_fighter,fighter
853,853,я поплавать хочу,судном поплавать хочу,choose_your_fighter,fighter
854,854,первая пиратка уже в пути,первая пиратка в ход идет,choose_your_fighter,fighter
855,855,пират я,я пират номер два,choose_your_fighter,fighter
858,858,я на другую перейду,я пойду пират на второй,choose_your_fighter,fighter
859,859,пиратский ход был первым,ход пират сделал первый,choose_your_fighter,fighter
861,861,я пойду на корабль,поеду я на корабле,choose_your_fighter,fighter
865,865,второй пиратский ход,ход пират делает второй,choose_your_fighter,fighter
867,867,я буду ходить раз в третий,я буду ходить пирате в третьем,choose_your_fighter,fighter
869,869,пойду я на корабль,я пойду на корабль,choose_your_fighter,fighter
873,873,человек первый я в мире,первый я человек,choose_your_fighter,fighter
879,879,пойду на лодку я,на лодку пойду я,choose_your_fighter,fighter
880,880,поехать хочу с третьей пираткой,пойти хочу я на третьего пирата,choose_your_fighter,fighter
882,882,пойду я на корабль,я на лодку пойду,choose_your_fighter,fighter
883,883,первой бы хотел быть я пираткой,первой бы хотел быть я пираткой,choose_your_fighter,fighter
884,884,сделал третий ход пирата,третий сделал пират ход,choose_your_fighter,fighter
886,886,мне нужно пойти с другой пираткой,я хочу пойти с другим пиратом,choose_your_fighter,fighter
888,888,пиратский ход второй,ход пират делает второй,choose_your_fighter,fighter
891,891,первый пират сделал свой ход,пират первый сделал ход,choose_your_fighter,fighter
892,892,плавать на лодке хочу,плавать хочу на лодке,choose_your_fighter,fighter
895,895,в мире хочу быть первым я,хочу первым ходить пиратом,choose_your_fighter,fighter
896,896,я хочу быть первой пираткой,хочу я быть первой пираткой,choose_your_fighter,fighter
898,898,плавать хочу я на лодке,хочу плавать на лодке,choose_your_fighter,fighter
901,901,другая пиратка идет в свой путь,другая пиратка делает свой ход,choose_your_fighter,fighter
907,907,я пойду на корабль,корабликом иду я,choose_your_fighter,fighter
